Angle(Deg)	I1	I2	Itotal
0.054505	8.254715e+006	8.254707e+006	1.650942e+007
0.055006	8.253361e+006	8.253352e+006	1.650671e+007
0.055506	8.251994e+006	8.251985e+006	1.650398e+007
0.056006	8.250615e+006	8.250606e+006	1.650122e+007
0.056506	8.249224e+006	8.249215e+006	1.649844e+007
0.057006	8.247821e+006	8.247812e+006	1.649563e+007
0.057506	8.246406e+006	8.246396e+006	1.649280e+007
0.058006	8.244978e+006	8.244968e+006	1.648995e+007
0.058506	8.243538e+006	8.243529e+006	1.648707e+007
0.059006	8.242087e+006	8.242077e+006	1.648416e+007
0.059506	8.240623e+006	8.240613e+006	1.648124e+007
0.060006	8.239147e+006	8.239136e+006	1.647828e+007
0.060506	8.237659e+006	8.237648e+006	1.647531e+007
0.061006	8.236158e+006	8.236148e+006	1.647231e+007
0.061506	8.234646e+006	8.234635e+006	1.646928e+007
0.062006	8.233121e+006	8.233110e+006	1.646623e+007
0.062506	8.231585e+006	8.231574e+006	1.646316e+007
0.063006	8.230036e+006	8.230025e+006	1.646006e+007
0.063506	8.228475e+006	8.228464e+006	1.645694e+007
0.064006	8.226902e+006	8.226891e+006	1.645379e+007
0.064506	8.225317e+006	8.225305e+006	1.645062e+007
0.065007	8.223720e+006	8.223708e+006	1.644743e+007
0.065507	8.222111e+006	8.222099e+006	1.644421e+007
0.066007	8.220490e+006	8.220478e+006	1.644097e+007
0.066507	8.218857e+006	8.218844e+006	1.643770e+007
0.067007	8.217212e+006	8.217199e+006	1.643441e+007
0.067507	8.215554e+006	8.215541e+006	1.643110e+007
0.068007	8.213885e+006	8.213872e+006	1.642776e+007
0.068507	8.212204e+006	8.212190e+006	1.642439e+007
0.069007	8.210510e+006	8.210497e+006	1.642101e+007
0.069507	8.208805e+006	8.208791e+006	1.641760e+007
0.070007	8.207088e+006	8.207074e+006	1.641416e+007
0.070507	8.205358e+006	8.205344e+006	1.641070e+007
0.071007	8.203617e+006	8.203603e+006	1.640722e+007
0.071507	8.201864e+006	8.201849e+006	1.640371e+007
0.072007	8.200098e+006	8.200084e+006	1.640018e+007
0.072507	8.198321e+006	8.198306e+006	1.639663e+007
0.073007	8.196532e+006	8.196517e+006	1.639305e+007
0.073507	8.194730e+006	8.194715e+006	1.638945e+007
0.074007	8.192917e+006	8.192902e+006	1.638582e+007
0.074507	8.191092e+006	8.191076e+006	1.638217e+007
0.075008	8.189255e+006	8.189239e+006	1.637849e+007
0.075508	8.187406e+006	8.187390e+006	1.637480e+007
0.076008	8.185545e+006	8.185529e+006	1.637107e+007
0.076508	8.183672e+006	8.183656e+006	1.636733e+007
0.077008	8.181788e+006	8.181771e+006	1.636356e+007
0.077508	8.179891e+006	8.179874e+006	1.635976e+007
0.078008	8.177982e+006	8.177965e+006	1.635595e+007
0.078508	8.176062e+006	8.176044e+006	1.635211e+007
0.079008	8.174130e+006	8.174112e+006	1.634824e+007
0.079508	8.172185e+006	8.172167e+006	1.634435e+007
0.080008	8.170229e+006	8.170211e+006	1.634044e+007
0.080508	8.168261e+006	8.168243e+006	1.633650e+007
0.081008	8.166282e+006	8.166263e+006	1.633254e+007
0.081508	8.164290e+006	8.164271e+006	1.632856e+007
0.082008	8.162287e+006	8.162268e+006	1.632455e+007
0.082508	8.160271e+006	8.160252e+006	1.632052e+007
0.083008	8.158244e+006	8.158225e+006	1.631647e+007
0.083508	8.156205e+006	8.156186e+006	1.631239e+007
0.084008	8.154155e+006	8.154135e+006	1.630829e+007
0.084508	8.152092e+006	8.152072e+006	1.630416e+007
0.085009	8.150018e+006	8.149997e+006	1.630001e+007
0.085509	8.147932e+006	8.147911e+006	1.629584e+007
0.086009	8.145834e+006	8.145813e+006	1.629165e+007
0.086509	8.143724e+006	8.143703e+006	1.628743e+007
0.087009	8.141603e+006	8.141581e+006	1.628318e+007
0.087509	8.139470e+006	8.139448e+006	1.627892e+007
0.088009	8.137325e+006	8.137303e+006	1.627463e+007
0.088509	8.135168e+006	8.135146e+006	1.627031e+007
0.089009	8.133000e+006	8.132977e+006	1.626598e+007
0.089509	8.130820e+006	8.130797e+006	1.626162e+007
0.090009	8.128628e+006	8.128605e+006	1.625723e+007
0.090509	8.126424e+006	8.126401e+006	1.625283e+007
0.091009	8.124209e+006	8.124186e+006	1.624840e+007
0.091509	8.121982e+006	8.121959e+006	1.624394e+007
0.092009	8.119744e+006	8.119720e+006	1.623946e+007
0.092509	8.117494e+006	8.117470e+006	1.623496e+007
0.093009	8.115232e+006	8.115207e+006	1.623044e+007
0.093509	8.112958e+006	8.112934e+006	1.622589e+007
0.094009	8.110673e+006	8.110648e+006	1.622132e+007
0.094509	8.108376e+006	8.108351e+006	1.621673e+007
0.095010	8.106068e+006	8.106043e+006	1.621211e+007
0.095510	8.103748e+006	8.103722e+006	1.620747e+007
0.096010	8.101416e+006	8.101391e+006	1.620281e+007
0.096510	8.099073e+006	8.099047e+006	1.619812e+007
0.097010	8.096718e+006	8.096692e+006	1.619341e+007
0.097510	8.094352e+006	8.094325e+006	1.618868e+007
0.098010	8.091974e+006	8.091947e+006	1.618392e+007
0.098510	8.089585e+006	8.089557e+006	1.617914e+007
0.099010	8.087184e+006	8.087156e+006	1.617434e+007
0.099510	8.084771e+006	8.084743e+006	1.616951e+007
0.100010	8.082347e+006	8.082319e+006	1.616467e+007
0.100510	8.079911e+006	8.079883e+006	1.615979e+007
0.101010	8.077464e+006	8.077435e+006	1.615490e+007
0.101510	8.075005e+006	8.074976e+006	1.614998e+007
0.102010	8.072535e+006	8.072506e+006	1.614504e+007
0.102510	8.070053e+006	8.070024e+006	1.614008e+007
0.103010	8.067560e+006	8.067531e+006	1.613509e+007
0.103510	8.065056e+006	8.065026e+006	1.613008e+007
0.104010	8.062540e+006	8.062509e+006	1.612505e+007
0.104510	8.060012e+006	8.059982e+006	1.611999e+007
0.105011	8.057473e+006	8.057442e+006	1.611492e+007
0.105511	8.054923e+006	8.054892e+006	1.610981e+007
0.106011	8.052361e+006	8.052330e+006	1.610469e+007
0.106511	8.049788e+006	8.049756e+006	1.609954e+007
0.107011	8.047203e+006	8.047171e+006	1.609437e+007
0.107511	8.044607e+006	8.044575e+006	1.608918e+007
0.108011	8.042000e+006	8.041967e+006	1.608397e+007
0.108511	8.039381e+006	8.039348e+006	1.607873e+007
0.109011	8.036751e+006	8.036718e+006	1.607347e+007
0.109511	8.034109e+006	8.034076e+006	1.606819e+007
0.110011	8.031457e+006	8.031423e+006	1.606288e+007
0.110511	8.028792e+006	8.028758e+006	1.605755e+007
0.111011	8.026117e+006	8.026083e+006	1.605220e+007
0.111511	8.023430e+006	8.023396e+006	1.604683e+007
0.112011	8.020732e+006	8.020697e+006	1.604143e+007
0.112511	8.018023e+006	8.017987e+006	1.603601e+007
0.113011	8.015302e+006	8.015266e+006	1.603057e+007
0.113511	8.012570e+006	8.012534e+006	1.602510e+007
0.114011	8.009827e+006	8.009791e+006	1.601962e+007
0.114511	8.007073e+006	8.007036e+006	1.601411e+007
0.115012	8.004307e+006	8.004270e+006	1.600858e+007
0.115512	8.001530e+006	8.001493e+006	1.600302e+007
0.116012	7.998742e+006	7.998704e+006	1.599745e+007
0.116512	7.995943e+006	7.995905e+006	1.599185e+007
0.117012	7.993132e+006	7.993094e+006	1.598623e+007
0.117512	7.990310e+006	7.990272e+006	1.598058e+007
0.118012	7.987477e+006	7.987439e+006	1.597492e+007
0.118512	7.984633e+006	7.984594e+006	1.596923e+007
0.119012	7.981778e+006	7.981739e+006	1.596352e+007
0.119512	7.978912e+006	7.978872e+006	1.595778e+007
0.120012	7.976034e+006	7.975994e+006	1.595203e+007
0.120512	7.973146e+006	7.973106e+006	1.594625e+007
0.121012	7.970246e+006	7.970206e+006	1.594045e+007
0.121512	7.967335e+006	7.967294e+006	1.593463e+007
0.122012	7.964413e+006	7.964372e+006	1.592879e+007
0.122512	7.961480e+006	7.961439e+006	1.592292e+007
0.123012	7.958536e+006	7.958495e+006	1.591703e+007
